Id,Warehouse Block,Mode Of Shipment,Customer Care Calls,Customer Rating,Cost Of The Product,Prior Purchases,Product Importance,Gender,Discount Offered,Weight In Gms,On-Time Delivery,Net Price,Discount Ratio,Status By Mode Of Shipment
5187,A,Road,4,5,234,3,0,M,3,5438,0,231,0.01,0.59
5188,B,Road,5,5,257,4,1,M,10,5180,1,247,0.04,0.59
5189,C,Road,3,1,221,3,2,M,3,5005,1,218,0.01,0.59
5190,F,Road,5,1,171,5,1,F,8,4699,0,163,0.05,0.59
5191,D,Road,4,4,231,2,0,F,4,5825,0,227,0.02,0.59
5192,F,Road,5,5,187,4,1,F,9,5326,0,178,0.05,0.59
5193,A,Road,5,4,233,3,0,M,8,5076,1,225,0.03,0.59
5194,B,Road,4,4,268,6,1,F,3,4834,0,265,0.01,0.59
5195,C,Road,4,2,262,3,0,F,9,4941,0,253,0.03,0.59
5196,F,Road,3,4,284,10,0,M,8,4562,1,276,0.03,0.59
5197,D,Road,3,3,259,3,1,F,5,4664,0,254,0.02,0.59
5198,F,Road,3,1,221,10,1,M,10,5473,0,211,0.05,0.59
5199,A,Road,5,5,271,4,2,F,6,4547,1,265,0.02,0.59
5200,B,Road,5,4,249,3,2,F,2,4397,1,247,0.01,0.59
5201,C,Road,5,5,259,3,1,F,5,4315,0,254,0.02,0.59
5202,F,Flight,3,1,176,3,0,M,5,5316,1,171,0.03,0.6
5203,D,Flight,4,1,139,3,0,M,6,4942,1,133,0.04,0.6
5204,F,Flight,3,4,243,3,1,F,8,4959,0,235,0.03,0.6
5205,A,Flight,5,2,248,3,1,M,5,5946,0,243,0.02,0.6
5206,B,Flight,3,5,247,3,0,F,4,5891,1,243,0.02,0.6
5207,C,Flight,5,5,230,10,2,M,10,5619,1,220,0.04,0.6
5208,F,Flight,5,3,134,3,2,M,8,5016,0,126,0.06,0.6
5209,D,Flight,4,1,184,3,0,F,8,4667,0,176,0.04,0.6
5210,F,Flight,4,5,263,3,1,F,6,5445,0,257,0.02,0.6
5211,A,Flight,5,4,121,5,2,F,4,4814,0,117,0.03,0.6
5212,B,Flight,3,2,160,3,1,M,3,5807,0,157,0.02,0.6
5213,C,Flight,4,2,229,4,1,M,3,5340,0,226,0.01,0.6
5214,F,Flight,7,3,306,4,1,M,4,1739,1,302,0.01,0.6
5215,D,Flight,6,2,291,4,0,M,8,1019,0,283,0.03,0.6
5216,F,Flight,6,4,292,4,0,F,10,1321,1,282,0.03,0.6
5217,A,Flight,6,2,293,5,0,M,2,1494,0,291,0.01,0.6
5218,B,Flight,6,4,275,4,0,M,9,1585,0,266,0.03,0.6
5219,C,Flight,6,3,274,4,0,M,2,1833,1,272,0.01,0.6
5220,F,Flight,7,5,310,4,0,F,5,1975,0,305,0.02,0.6
5221,D,Flight,6,3,292,4,0,F,10,1270,0,282,0.03,0.6
5222,F,Flight,6,5,256,5,0,M,10,1686,0,246,0.04,0.6
5223,A,Flight,4,5,234,3,0,M,5,5213,0,229,0.02,0.6
5224,B,Ship,5,1,257,4,1,M,1,4924,0,256,0.0,0.6
5225,C,Ship,3,1,221,3,2,M,1,4948,0,220,0.0,0.6
5226,F,Ship,5,1,171,5,1,F,2,5921,1,169,0.01,0.6
5227,D,Ship,4,1,231,2,0,F,1,5917,1,230,0.0,0.6
5228,F,Ship,5,1,187,4,1,F,8,5164,0,179,0.04,0.6
5229,A,Ship,5,1,233,3,0,M,10,5289,0,223,0.04,0.6
5230,B,Ship,4,2,268,6,1,M,2,4348,0,266,0.01,0.6
5231,C,Ship,4,3,262,3,0,M,9,4404,1,253,0.03,0.6
5232,F,Ship,3,4,284,10,0,M,5,5479,0,279,0.02,0.6
5233,D,Ship,3,3,259,3,1,F,4,4259,0,255,0.02,0.6
5234,F,Ship,3,5,221,10,1,F,7,5743,1,214,0.03,0.6
5235,A,Ship,5,5,271,4,2,M,10,4305,1,261,0.04,0.6
5236,B,Ship,5,2,249,3,2,F,8,5000,1,241,0.03,0.6
5237,C,Ship,5,5,259,3,1,F,1,4608,0,258,0.0,0.6
5238,F,Ship,3,1,176,3,0,F,7,4276,0,169,0.04,0.6
5239,D,Ship,4,1,139,3,0,F,1,5502,1,138,0.01,0.6
5240,F,Ship,3,1,243,3,1,F,2,5827,1,241,0.01,0.6
5241,A,Ship,5,3,248,3,1,M,10,5567,1,238,0.04,0.6
5242,B,Ship,3,4,247,3,0,M,6,4873,0,241,0.02,0.6
5243,C,Ship,5,5,230,10,2,F,3,5391,0,227,0.01,0.6
5244,F,Ship,5,5,134,3,2,F,5,5783,1,129,0.04,0.6
5245,D,Ship,4,2,184,3,0,M,10,4931,0,174,0.05,0.6
5246,F,Ship,4,4,263,3,1,M,10,4680,0,253,0.04,0.6
5247,A,Ship,5,2,121,5,2,F,4,5833,0,117,0.03,0.6
5248,B,Ship,3,1,160,3,1,F,4,5132,0,156,0.02,0.6
5249,C,Ship,4,1,229,4,1,F,2,5378,1,227,0.01,0.6
5250,F,Ship,7,5,306,4,1,F,2,1281,0,304,0.01,0.6
5251,D,Ship,6,2,291,4,0,F,7,1046,0,284,0.02,0.6
5252,F,Ship,6,4,292,4,0,M,9,1056,1,283,0.03,0.6
5253,A,Ship,6,5,293,5,0,F,1,1278,0,292,0.0,0.6
5254,B,Ship,6,4,275,4,0,M,10,1266,1,265,0.04,0.6
5255,C,Ship,6,3,274,4,0,M,10,1174,0,264,0.04,0.6
5256,F,Ship,7,2,310,4,0,M,4,1806,0,306,0.01,0.6
5257,D,Ship,6,5,292,4,0,F,10,1969,1,282,0.03,0.6
5258,F,Ship,6,1,275,4,0,F,5,1228,0,270,0.02,0.6
5259,A,Ship,7,3,310,4,1,M,8,1860,1,302,0.03,0.6
5260,B,Ship,7,5,281,4,0,M,8,1987,1,273,0.03,0.6
5261,C,Ship,6,5,256,4,0,M,5,1033,1,251,0.02,0.6
5262,F,Ship,6,4,304,4,0,F,2,1749,0,302,0.01,0.6
5263,D,Ship,6,4,285,4,1,M,6,1582,0,279,0.02,0.6
5264,F,Ship,7,4,283,5,0,M,6,1882,1,277,0.02,0.6
5265,A,Ship,6,1,304,4,0,F,4,1236,1,300,0.01,0.6
5266,B,Ship,6,3,282,4,1,M,3,1661,0,279,0.01,0.6
5267,C,Ship,6,2,304,5,1,M,6,1178,1,298,0.02,0.6
5268,F,Ship,6,2,301,5,1,M,3,1844,1,298,0.01,0.6
5269,D,Ship,7,2,296,4,0,F,6,1005,1,290,0.02,0.6
5270,F,Ship,6,4,264,4,0,M,1,1660,1,263,0.0,0.6
5271,A,Ship,6,4,306,4,0,F,6,1461,0,300,0.02,0.6
5272,B,Ship,7,4,243,4,1,F,6,1362,1,237,0.02,0.6
5273,C,Ship,6,2,286,4,0,M,9,1418,0,277,0.03,0.6
5274,F,Ship,6,2,247,4,1,M,1,1668,0,246,0.0,0.6
5275,D,Ship,7,5,292,5,0,M,5,1932,1,287,0.02,0.6
5276,F,Ship,6,2,281,2,1,F,9,1715,1,272,0.03,0.6
5277,A,Ship,6,5,294,4,0,M,4,1302,0,290,0.01,0.6
5278,B,Ship,5,1,279,4,0,F,3,1499,0,276,0.01,0.6
5279,C,Ship,6,4,298,4,1,M,9,1629,0,289,0.03,0.6
5280,F,Ship,6,3,248,4,0,F,6,1997,1,242,0.02,0.6
5281,D,Ship,6,5,261,4,0,F,3,1217,1,258,0.01,0.6
5282,F,Ship,5,2,136,2,0,M,3,1370,0,133,0.02,0.6
5283,A,Ship,6,3,259,5,1,F,1,1271,0,258,0.0,0.6
5284,B,Ship,6,4,292,4,1,F,7,1094,1,285,0.02,0.6
5285,C,Ship,7,4,305,4,1,F,6,1873,0,299,0.02,0.6
5286,F,Ship,6,2,304,4,0,F,9,1392,0,295,0.03,0.6
5287,D,Ship,3,5,218,2,0,M,4,5142,0,214,0.02,0.6
5288,F,Ship,4,1,268,3,1,M,6,4681,1,262,0.02,0.6
5289,A,Ship,2,3,110,5,0,M,3,4124,0,107,0.03,0.6
5290,B,Ship,4,4,248,3,0,F,1,5198,0,247,0.0,0.6
5291,C,Ship,4,3,194,2,1,M,4,5780,1,190,0.02,0.6
5292,F,Ship,5,4,151,2,0,F,10,5643,1,141,0.07,0.6
5293,D,Ship,3,2,205,2,0,M,6,4853,0,199,0.03,0.6
5294,F,Ship,2,1,275,2,0,F,5,4163,1,270,0.02,0.6
5295,A,Ship,5,3,229,2,1,M,10,5149,0,219,0.04,0.6
5296,B,Ship,3,4,169,3,0,F,4,5716,0,165,0.02,0.6
5297,C,Ship,3,1,137,5,0,F,8,4980,1,129,0.06,0.6
5298,F,Ship,3,2,263,3,1,F,3,4181,0,260,0.01,0.6
5299,D,Ship,5,4,187,3,0,F,1,4181,0,186,0.01,0.6
5300,F,Ship,4,3,287,4,0,M,6,5889,0,281,0.02,0.6
5301,A,Ship,4,4,134,2,1,F,5,5230,0,129,0.04,0.6
5302,B,Ship,5,4,244,3,1,F,3,4015,0,241,0.01,0.6
5303,C,Ship,4,3,229,2,1,F,8,5868,0,221,0.03,0.6
5304,F,Ship,5,1,203,5,1,M,2,4845,0,201,0.01,0.6
5305,D,Ship,4,5,183,2,1,F,8,4422,0,175,0.04,0.6
5306,F,Ship,4,2,146,2,1,M,4,4348,1,142,0.03,0.6
5307,A,Ship,4,4,252,3,1,M,1,5676,1,251,0.0,0.6
5308,B,Ship,3,5,133,3,1,M,7,4314,0,126,0.05,0.6
5309,C,Ship,3,3,207,3,0,M,7,4816,1,200,0.03,0.6
5310,F,Ship,3,4,243,3,1,M,8,5705,1,235,0.03,0.6
5311,D,Ship,2,1,219,4,0,M,7,5573,1,212,0.03,0.6
5312,F,Ship,3,1,182,2,0,F,3,5510,1,179,0.02,0.6
5313,A,Ship,5,5,257,3,1,F,5,5084,0,252,0.02,0.6
5314,B,Ship,4,2,256,4,1,M,4,5469,0,252,0.02,0.6
5315,C,Ship,3,5,181,4,2,F,1,4971,1,180,0.01,0.6
5316,F,Ship,3,1,219,3,1,M,6,4893,1,213,0.03,0.6
5317,D,Road,4,3,227,2,0,M,3,4375,0,224,0.01,0.59
5318,F,Road,3,5,232,2,2,F,8,5146,0,224,0.03,0.59
5319,A,Road,6,4,143,4,1,M,4,4401,0,139,0.03,0.59
5320,B,Road,4,3,274,3,2,F,7,5517,0,267,0.03,0.59
5321,C,Road,4,4,186,3,0,F,2,4430,0,184,0.01,0.59
5322,F,Road,3,4,273,3,0,M,3,5163,1,270,0.01,0.59
5323,D,Road,3,3,199,3,0,M,7,5258,1,192,0.04,0.59
5324,F,Road,4,4,238,3,1,F,5,4724,1,233,0.02,0.59
5325,A,Road,4,3,175,3,1,F,4,5784,0,171,0.02,0.59
5326,B,Road,4,2,252,6,1,M,2,5476,0,250,0.01,0.59
5327,C,Road,6,1,250,3,0,M,5,5621,1,245,0.02,0.59
5328,F,Road,3,2,254,2,1,F,10,5608,0,244,0.04,0.59
5329,D,Road,2,4,201,2,2,M,2,5115,0,199,0.01,0.59
5330,F,Road,5,1,234,3,2,F,9,5548,0,225,0.04,0.59
5331,A,Road,4,2,164,4,0,M,2,5008,0,162,0.01,0.59
5332,B,Road,4,1,197,3,0,M,2,4326,0,195,0.01,0.59
5333,C,Road,4,3,158,4,1,M,7,4460,0,151,0.04,0.59
5334,F,Road,3,2,158,3,1,M,4,5335,0,154,0.03,0.59
5335,D,Road,5,3,111,4,1,F,8,4575,0,103,0.07,0.59
5336,F,Road,5,3,215,3,0,F,2,4731,1,213,0.01,0.59
5337,A,Road,6,3,233,3,1,F,9,4293,1,224,0.04,0.59
5338,B,Road,4,4,204,3,1,M,8,5614,0,196,0.04,0.59
5339,C,Flight,2,5,254,2,0,M,10,5718,1,244,0.04,0.6
5340,F,Flight,5,1,162,3,1,F,1,5537,0,161,0.01,0.6
5341,D,Flight,4,1,249,5,0,M,9,4396,0,240,0.04,0.6
5342,F,Flight,3,2,151,3,0,F,7,5154,1,144,0.05,0.6
5343,A,Flight,4,2,243,2,1,F,6,4573,0,237,0.02,0.6
5344,B,Flight,4,2,181,3,0,M,4,5078,0,177,0.02,0.6
5345,C,Flight,4,3,241,2,1,F,4,5942,1,237,0.02,0.6
5346,F,Flight,3,3,175,3,0,M,2,5740,1,173,0.01,0.6
5347,D,Flight,3,1,191,2,1,F,10,5073,0,181,0.05,0.6
5348,F,Flight,4,5,260,3,2,M,10,4919,0,250,0.04,0.6
5349,A,Flight,4,1,263,4,0,M,9,4390,0,254,0.03,0.6
5350,B,Flight,4,1,254,2,0,M,10,4230,1,244,0.04,0.6
5351,C,Flight,5,5,103,6,1,F,2,4860,0,101,0.02,0.6
5352,F,Flight,5,2,254,5,1,F,2,5655,1,252,0.01,0.6
5353,D,Flight,5,4,235,2,1,M,9,5549,0,226,0.04,0.6
5354,F,Flight,4,3,167,3,1,F,1,4621,1,166,0.01,0.6
5355,A,Flight,4,5,140,5,1,F,3,4191,1,137,0.02,0.6
5356,B,Flight,4,1,231,3,1,M,2,4940,0,229,0.01,0.6
5357,C,Flight,2,4,144,4,0,F,8,5760,1,136,0.06,0.6
5358,F,Flight,4,5,183,2,1,F,2,4533,1,181,0.01,0.6
5359,D,Flight,4,3,149,3,0,F,3,5542,0,146,0.02,0.6
5360,F,Flight,4,4,145,2,1,M,8,5645,1,137,0.06,0.6
5361,A,Ship,3,3,223,3,1,F,4,5062,1,219,0.02,0.6
5362,B,Ship,4,2,251,2,0,F,10,4898,1,241,0.04,0.6
5363,C,Ship,4,2,240,3,1,M,9,5170,1,231,0.04,0.6
5364,F,Ship,4,5,226,5,0,F,5,4833,0,221,0.02,0.6
5365,D,Ship,4,1,200,2,0,M,5,5072,1,195,0.02,0.6
5366,F,Ship,3,4,213,3,2,F,4,5996,0,209,0.02,0.6
5367,A,Ship,3,4,166,2,0,F,10,5258,0,156,0.06,0.6
5368,B,Ship,5,2,203,6,1,F,7,5289,0,196,0.03,0.6
5369,C,Ship,3,4,175,2,1,M,9,5643,1,166,0.05,0.6
5370,F,Ship,4,2,197,3,0,F,6,5826,0,191,0.03,0.6
5371,D,Ship,4,1,158,3,1,M,5,5782,0,153,0.03,0.6
5372,F,Ship,4,2,257,2,0,M,7,5325,1,250,0.03,0.6
5373,A,Ship,3,1,183,2,1,F,3,4042,0,180,0.02,0.6
5374,B,Ship,3,3,254,2,1,M,8,4890,1,246,0.03,0.6
5375,C,Ship,3,1,219,2,1,F,10,4390,1,209,0.05,0.6
5376,F,Ship,3,5,271,4,0,M,3,5831,1,268,0.01,0.6
5377,D,Ship,4,4,236,2,1,F,5,5266,0,231,0.02,0.6
5378,F,Ship,5,1,170,4,2,M,6,5258,1,164,0.04,0.6
5379,A,Ship,5,4,203,2,2,F,2,4190,1,201,0.01,0.6
5380,B,Ship,3,5,258,3,0,M,5,4314,1,253,0.02,0.6
5381,C,Ship,4,5,228,2,0,F,4,4783,1,224,0.02,0.6
5382,F,Ship,6,3,251,5,1,M,8,4877,0,243,0.03,0.6
5383,D,Ship,3,3,166,2,1,M,4,4254,1,162,0.02,0.6
5384,F,Ship,3,5,147,3,0,F,4,5042,0,143,0.03,0.6
5385,A,Ship,5,4,248,4,1,F,5,4271,1,243,0.02,0.6
5386,B,Ship,3,2,238,4,0,F,7,5254,0,231,0.03,0.6
5387,C,Ship,4,4,219,2,1,M,7,4604,0,212,0.03,0.6
5388,F,Ship,5,2,226,3,1,M,6,4700,1,220,0.03,0.6
5389,D,Ship,3,3,211,4,0,M,7,4733,0,204,0.03,0.6
5390,F,Ship,5,4,139,3,1,F,6,5721,0,133,0.04,0.6
5391,A,Ship,4,2,137,2,1,F,2,5804,1,135,0.01,0.6
5392,B,Ship,4,4,222,2,1,M,7,4343,0,215,0.03,0.6
5393,C,Ship,2,3,257,2,0,F,1,5331,1,256,0.0,0.6
5394,F,Ship,5,1,186,4,1,M,5,5239,0,181,0.03,0.6
5395,D,Ship,4,2,262,3,0,M,4,5085,0,258,0.02,0.6
5396,F,Ship,4,3,248,3,0,M,5,4781,1,243,0.02,0.6
5397,A,Ship,5,3,245,3,1,F,5,5663,0,240,0.02,0.6
5398,B,Ship,5,3,202,4,0,M,6,5107,0,196,0.03,0.6
5399,C,Ship,4,3,279,6,1,M,2,5405,0,277,0.01,0.6
5400,F,Ship,5,1,263,3,1,M,6,4505,1,257,0.02,0.6
5401,D,Ship,3,5,227,4,0,F,9,4647,0,218,0.04,0.6
5402,F,Ship,5,3,245,4,2,M,8,4129,1,237,0.03,0.6
5403,A,Ship,4,5,142,2,1,F,7,4594,1,135,0.05,0.6
5404,B,Ship,5,3,192,3,1,F,6,4037,1,186,0.03,0.6
5405,C,Ship,4,3,190,4,1,M,4,4102,1,186,0.02,0.6
5406,F,Ship,2,2,146,4,0,M,4,5817,0,142,0.03,0.6
5407,D,Ship,4,3,161,2,1,M,3,4391,1,158,0.02,0.6
5408,F,Ship,3,3,192,3,0,F,1,4180,1,191,0.01,0.6
5409,A,Ship,3,1,267,3,0,M,5,5528,0,262,0.02,0.6
5410,B,Ship,5,5,186,4,1,F,9,5592,1,177,0.05,0.6
5411,C,Ship,4,2,149,5,1,F,8,4209,0,141,0.05,0.6
5412,F,Ship,4,4,246,3,0,M,2,5473,1,244,0.01,0.6
5413,D,Ship,3,2,177,4,0,F,3,5527,0,174,0.02,0.6
5414,F,Ship,4,5,199,2,0,F,8,4463,0,191,0.04,0.6
5415,A,Ship,5,2,247,3,1,F,3,4698,1,244,0.01,0.6
5416,B,Ship,4,5,157,3,1,F,2,4343,1,155,0.01,0.6
5417,C,Ship,3,1,202,3,1,F,9,4322,0,193,0.04,0.6
5418,F,Ship,4,2,150,3,0,M,6,5787,1,144,0.04,0.6
5419,D,Ship,5,5,209,2,0,F,3,4348,0,206,0.01,0.6
5420,F,Ship,5,3,223,3,0,M,6,5977,0,217,0.03,0.6
5421,A,Ship,3,3,234,3,0,F,8,4839,1,226,0.03,0.6
5422,B,Ship,6,1,147,3,1,F,5,4012,0,142,0.03,0.6
5423,C,Ship,6,5,201,5,1,M,3,5771,0,198,0.01,0.6
5424,F,Ship,5,3,134,2,0,M,10,5279,1,124,0.07,0.6
5425,D,Ship,4,1,229,4,0,F,3,4352,1,226,0.01,0.6
5426,F,Ship,4,4,200,4,0,F,3,5583,1,197,0.02,0.6
5427,A,Ship,4,4,239,3,0,M,4,4756,0,235,0.02,0.6
5428,B,Ship,5,4,237,6,1,M,2,4541,0,235,0.01,0.6
5429,C,Ship,5,2,121,5,1,F,10,4790,0,111,0.08,0.6
5430,F,Ship,3,4,156,3,1,M,6,5255,1,150,0.04,0.6
5431,D,Ship,5,3,195,4,0,F,9,5577,0,186,0.05,0.6
5432,F,Ship,4,4,261,3,2,M,9,5515,0,252,0.03,0.6
5433,A,Ship,2,1,255,2,1,M,9,5936,1,246,0.04,0.6
5434,B,Ship,3,5,212,4,0,F,9,5791,0,203,0.04,0.6
5435,C,Ship,4,4,241,3,0,F,8,5206,1,233,0.03,0.6
5436,F,Ship,4,5,266,3,1,F,4,5928,1,262,0.02,0.6
5437,D,Ship,4,5,253,2,0,M,8,5652,0,245,0.03,0.6
5438,F,Ship,4,3,192,3,1,F,10,5190,0,182,0.05,0.6
5439,A,Ship,4,4,263,4,1,M,7,4041,1,256,0.03,0.6
5440,B,Ship,4,5,198,6,1,F,6,5380,0,192,0.03,0.6
5441,C,Ship,3,1,225,2,2,M,6,5274,1,219,0.03,0.6
5442,F,Ship,3,1,209,2,1,F,3,4184,0,206,0.01,0.6
5443,D,Ship,3,4,222,3,1,M,3,4068,0,219,0.01,0.6
5444,F,Ship,3,1,162,3,1,F,7,5971,0,155,0.04,0.6
5445,A,Ship,5,1,217,2,1,M,6,5518,0,211,0.03,0.6
5446,B,Ship,3,5,252,4,0,F,7,5328,1,245,0.03,0.6
5447,C,Ship,4,1,236,3,0,F,4,4248,0,232,0.02,0.6
5448,F,Ship,4,4,113,3,1,F,1,5610,1,112,0.01,0.6
5449,D,Ship,6,4,157,6,0,F,9,5354,1,148,0.06,0.6
5450,F,Ship,5,3,169,4,0,F,4,5683,0,165,0.02,0.6
5451,A,Ship,5,3,268,3,1,F,9,4152,1,259,0.03,0.6
5452,B,Ship,4,4,259,7,1,M,7,4408,0,252,0.03,0.6
5453,C,Ship,3,2,135,7,1,F,5,4716,0,130,0.04,0.6
5454,F,Road,4,1,196,5,0,M,7,5380,0,189,0.04,0.59
5455,D,Road,5,5,132,2,2,F,1,4233,0,131,0.01,0.59
5456,F,Road,3,5,256,2,1,F,9,5750,0,247,0.04,0.59
5457,A,Road,3,5,240,8,0,M,9,4436,1,231,0.04,0.59
5458,B,Road,2,3,225,7,2,M,7,4009,1,218,0.03,0.59
5459,C,Road,5,2,205,3,0,F,3,5182,0,202,0.01,0.59
5460,F,Road,4,4,146,3,0,F,10,5805,0,136,0.07,0.59
5461,D,Road,7,3,281,4,0,F,4,1480,0,277,0.01,0.59
5462,F,Road,6,4,256,4,0,F,2,1752,1,254,0.01,0.59
5463,A,Road,6,2,304,4,0,M,2,1256,1,302,0.01,0.59
5464,B,Road,6,4,285,4,1,M,9,1180,0,276,0.03,0.59
5465,C,Road,7,5,283,5,0,M,8,1578,0,275,0.03,0.59
5466,F,Road,6,4,304,4,0,M,6,1890,1,298,0.02,0.59
5467,D,Road,6,1,282,4,1,M,4,1716,0,278,0.01,0.59
5468,F,Road,6,3,304,5,1,F,6,1184,0,298,0.02,0.59
5469,A,Road,6,5,301,5,1,M,3,1628,0,298,0.01,0.59
5470,B,Road,7,1,296,4,0,F,10,1230,1,286,0.03,0.59
5471,C,Road,6,5,264,4,0,M,1,1039,1,263,0.0,0.59
5472,F,Road,6,4,306,4,0,M,9,1595,0,297,0.03,0.59
5473,D,Road,4,1,241,3,0,M,4,4493,1,237,0.02,0.59
5474,F,Road,4,5,266,3,1,M,8,4889,0,258,0.03,0.59
5475,A,Road,4,4,253,2,0,F,6,5892,0,247,0.02,0.59
5476,B,Flight,4,2,192,3,1,F,3,4922,0,189,0.02,0.6
5477,C,Flight,4,5,263,4,1,F,7,4243,1,256,0.03,0.6
5478,F,Flight,4,4,198,6,1,M,9,5730,1,189,0.05,0.6
5479,D,Flight,3,4,225,2,2,M,5,5997,0,220,0.02,0.6
5480,F,Flight,3,2,209,2,1,M,6,5095,1,203,0.03,0.6
5481,A,Flight,3,1,222,3,1,F,8,4650,1,214,0.04,0.6
5482,B,Flight,3,5,162,3,1,M,1,4480,0,161,0.01,0.6
5483,C,Flight,5,4,217,2,1,M,4,4380,1,213,0.02,0.6
5484,F,Flight,3,4,252,4,0,F,10,5495,0,242,0.04,0.6
5485,D,Flight,4,5,236,3,0,M,8,4132,0,228,0.03,0.6
5486,F,Flight,4,5,113,3,1,F,10,4053,1,103,0.09,0.6
5487,A,Flight,6,1,157,6,0,M,1,4631,1,156,0.01,0.6
5488,B,Flight,5,5,169,4,0,F,2,4188,0,167,0.01,0.6
5489,C,Flight,5,5,268,3,1,M,2,4459,1,266,0.01,0.6
5490,F,Flight,4,1,259,7,1,F,4,5102,0,255,0.02,0.6
5491,D,Flight,3,2,135,7,1,M,8,4901,0,127,0.06,0.6
5492,F,Flight,4,4,196,5,0,F,6,4258,0,190,0.03,0.6
5493,A,Flight,5,5,132,2,2,M,6,4392,0,126,0.05,0.6
5494,B,Flight,3,5,256,2,1,F,4,5368,1,252,0.02,0.6
5495,C,Flight,3,2,240,8,0,F,9,4908,0,231,0.04,0.6
5496,F,Flight,2,2,225,7,2,M,9,4947,1,216,0.04,0.6
5497,D,Flight,5,2,205,3,0,F,2,4270,0,203,0.01,0.6
5498,F,Ship,4,4,146,3,0,M,10,4472,1,136,0.07,0.6
5499,A,Ship,7,3,281,4,0,M,1,1215,1,280,0.0,0.6
5500,B,Ship,6,4,256,4,0,F,9,1676,0,247,0.04,0.6
5501,C,Ship,6,4,304,4,0,M,7,1226,1,297,0.02,0.6
5502,F,Ship,6,2,285,4,1,M,6,1016,1,279,0.02,0.6
5503,D,Ship,7,2,283,5,0,F,10,1722,1,273,0.04,0.6
5504,F,Ship,6,5,304,4,0,F,6,1864,1,298,0.02,0.6
5505,A,Ship,6,2,282,4,1,M,8,1553,0,274,0.03,0.6
5506,B,Ship,6,3,304,5,1,F,10,1254,1,294,0.03,0.6
5507,C,Ship,6,5,301,5,1,F,7,1209,1,294,0.02,0.6
5508,F,Ship,7,1,296,4,0,M,4,1446,0,292,0.01,0.6
5509,D,Ship,6,5,264,4,0,F,4,1822,1,260,0.02,0.6
5510,F,Ship,6,4,304,4,0,M,6,1342,0,298,0.02,0.6
5511,A,Ship,6,2,305,4,0,M,8,1015,0,297,0.03,0.6
5512,B,Ship,6,2,309,4,0,M,7,1941,0,302,0.02,0.6
5513,C,Ship,6,5,266,4,1,F,6,1312,1,260,0.02,0.6
5514,F,Ship,4,1,233,4,0,M,2,1809,0,231,0.01,0.6
5515,D,Ship,5,3,287,4,0,M,2,1437,0,285,0.01,0.6
5516,F,Ship,6,5,268,4,0,M,10,1170,0,258,0.04,0.6
5517,A,Ship,6,2,290,4,1,M,2,1070,1,288,0.01,0.6
5518,B,Ship,7,4,291,4,2,M,4,1248,1,287,0.01,0.6
5519,C,Ship,5,3,227,5,1,M,2,1965,0,225,0.01,0.6
5520,F,Ship,3,5,222,2,0,M,9,1321,0,213,0.04,0.6
5521,D,Ship,6,5,301,4,1,F,2,1943,0,299,0.01,0.6
5522,F,Ship,6,2,304,4,1,F,10,1983,1,294,0.03,0.6
5523,A,Ship,4,2,133,3,0,M,2,1212,1,131,0.02,0.6
5524,B,Ship,4,1,218,5,0,F,5,1238,0,213,0.02,0.6
5525,C,Ship,5,5,304,5,0,F,8,1949,1,296,0.03,0.6
5526,F,Ship,6,1,260,4,1,M,9,1698,1,251,0.03,0.6
5527,D,Ship,6,5,252,4,0,F,9,1460,0,243,0.04,0.6
5528,F,Ship,4,2,253,5,0,M,5,1812,0,248,0.02,0.6
5529,A,Ship,6,4,248,4,0,F,6,1851,0,242,0.02,0.6
5530,B,Ship,5,3,237,5,1,F,4,1733,1,233,0.02,0.6
5531,C,Ship,5,3,264,5,1,F,5,1399,0,259,0.02,0.6
5532,F,Ship,6,1,308,4,1,M,1,1216,1,307,0.0,0.6
5533,D,Ship,7,3,270,4,1,F,10,1211,0,260,0.04,0.6
5534,F,Ship,6,3,269,4,1,F,6,1822,1,263,0.02,0.6
5535,A,Ship,6,1,271,4,0,F,9,1302,0,262,0.03,0.6
5536,B,Ship,7,1,244,5,1,F,3,1418,1,241,0.01,0.6
5537,C,Ship,6,2,245,4,0,F,8,1904,0,237,0.03,0.6
5538,F,Ship,5,4,219,5,0,M,5,1388,1,214,0.02,0.6
5539,D,Ship,6,2,257,4,0,F,4,1929,1,253,0.02,0.6
5540,F,Ship,3,3,226,3,0,M,4,5048,0,222,0.02,0.6
5541,A,Ship,4,4,200,2,0,M,5,5783,0,195,0.02,0.6
5542,B,Ship,4,4,260,2,0,M,3,5801,0,257,0.01,0.6
5543,C,Ship,3,4,142,2,1,F,7,5346,0,135,0.05,0.6
5544,F,Ship,5,3,193,5,1,M,3,5888,0,190,0.02,0.6
5545,D,Ship,5,2,180,3,1,M,1,4655,1,179,0.01,0.6
5546,F,Ship,4,3,232,3,1,F,8,5298,1,224,0.03,0.6
5547,A,Ship,3,2,148,2,0,F,1,4133,1,147,0.01,0.6
5548,B,Ship,5,3,205,4,0,M,9,4277,0,196,0.04,0.6
5549,C,Ship,3,4,212,3,1,F,3,4811,0,209,0.01,0.6
5550,F,Ship,3,4,168,2,1,M,9,5235,1,159,0.05,0.6
5551,D,Ship,3,5,145,2,0,F,2,4232,1,143,0.01,0.6
5552,F,Ship,3,5,253,3,1,M,9,5979,1,244,0.04,0.6
